x	y	n	label
6.070510387420654	18.03309440612793	0	categorization, ranked, platform, organically, inference, reasoning, engine, encoding, complex, digital, conversation, graph
15.73206615447998	17.996700286865234	0	categorization, ranked, platform, organically, inference, reasoning, engine, encoding, complex, digital, conversation, graph
-17.33202362060547	8.24482536315918	1	decision, program, product, service, reasoning, recommendation, recognition, tree, interrelationship, engine, cognitive, network
-24.998857498168945	12.40597915649414	1	decision, program, product, service, reasoning, recommendation, recognition, tree, interrelationship, engine, cognitive, network
8.386112213134766	17.600797653198242	0	categorization, ranked, platform, organically, inference, reasoning, engine, encoding, complex, digital, conversation, graph
-19.872127532958984	4.565864086151123	1	decision, program, product, service, reasoning, recommendation, recognition, tree, interrelationship, engine, cognitive, network
-12.229711532592773	-10.648642539978027	1	decision, program, product, service, reasoning, recommendation, recognition, tree, interrelationship, engine, cognitive, network
18.998435974121094	1.8168437480926514	0	categorization, ranked, platform, organically, inference, reasoning, engine, encoding, complex, digital, conversation, graph
-16.234539031982422	-4.562252998352051	1	decision, program, product, service, reasoning, recommendation, recognition, tree, interrelationship, engine, cognitive, network
12.175909042358398	18.045961380004883	0	categorization, ranked, platform, organically, inference, reasoning, engine, encoding, complex, digital, conversation, graph
20.62320327758789	-13.678050994873047	0	categorization, ranked, platform, organically, inference, reasoning, engine, encoding, complex, digital, conversation, graph
-26.061986923217773	9.646499633789062	1	decision, program, product, service, reasoning, recommendation, recognition, tree, interrelationship, engine, cognitive, network
-10.920905113220215	-14.170523643493652	1	decision, program, product, service, reasoning, recommendation, recognition, tree, interrelationship, engine, cognitive, network
9.99524211883545	8.5668306350708	0	categorization, ranked, platform, organically, inference, reasoning, engine, encoding, complex, digital, conversation, graph
-20.15074348449707	4.920976161956787	1	decision, program, product, service, reasoning, recommendation, recognition, tree, interrelationship, engine, cognitive, network
21.923233032226562	-4.30765438079834	0	categorization, ranked, platform, organically, inference, reasoning, engine, encoding, complex, digital, conversation, graph
0.5767504572868347	-29.441301345825195	1	decision, program, product, service, reasoning, recommendation, recognition, tree, interrelationship, engine, cognitive, network
-17.970069885253906	-4.8034348487854	1	decision, program, product, service, reasoning, recommendation, recognition, tree, interrelationship, engine, cognitive, network
-1.7006525993347168	-18.869205474853516	1	decision, program, product, service, reasoning, recommendation, recognition, tree, interrelationship, engine, cognitive, network
-3.379674196243286	-18.751415252685547	1	decision, program, product, service, reasoning, recommendation, recognition, tree, interrelationship, engine, cognitive, network
